x_m,y_m,w_tr_right_m,w_tr_left_m
-84.854,-22.972,47.919,47.919
-84.854,-22.914,47.885,47.885
-84.854,-22.856,47.851,47.851
-84.796,-23.03,47.906,47.906
-84.796,-23.088,47.939,47.939
-84.796,-23.146,47.973,47.973
-84.796,-23.204,48.006,48.006
-84.738,-23.262,47.993,47.993
-84.738,-23.32,48.026,48.026
-84.738,-23.378,48.06,48.06
-84.68,-23.436,48.047,48.047
-84.68,-23.494,48.081,48.081
-84.68,-23.552,48.115,48.115
-84.68,-23.61,48.148,48.148
-84.622,-23.668,48.134,48.134
-84.622,-23.726,48.168,48.168
-84.622,-23.784,48.202,48.202
-84.622,-23.842,48.235,48.235
-84.564,-23.9,48.222,48.222
-84.564,-23.958,48.256,48.256
-84.564,-24.015,48.29,48.29
-84.564,-24.073,48.323,48.323
-84.506,-24.131,48.31,48.31
-84.506,-24.189,48.343,48.343
-84.506,-24.247,48.377,48.377
-84.506,-24.305,48.41,48.41
-84.448,-24.363,48.397,48.397
-84.448,-24.421,48.431,48.431
-84.448,-24.479,48.465,48.465
-84.39,-24.537,48.451,48.451
-84.39,-24.595,48.485,48.485
-84.39,-24.653,48.519,48.519
-84.39,-24.711,48.552,48.552
-84.332,-24.769,48.539,48.539
-84.332,-24.827,48.572,48.572
-84.332,-24.885,48.606,48.606
-84.332,-24.943,48.64,48.64
-84.274,-25.001,48.626,48.626
-84.274,-25.059,48.66,48.66
-84.274,-25.117,48.694,48.694
-84.274,-25.175,48.728,48.728
-84.216,-25.233,48.714,48.714
-84.216,-25.291,48.747,48.747
-84.216,-25.349,48.781,48.781
-84.216,-25.407,48.815,48.815
-84.158,-25.464,48.801,48.801
-84.158,-25.522,48.835,48.835
-84.158,-25.58,48.869,48.869
-84.1,-25.638,48.856,48.856
-84.1,-25.696,48.889,48.889
-84.1,-25.754,48.923,48.923
-84.1,-25.812,48.956,48.956
-84.042,-25.87,48.943,48.943
-84.042,-25.928,48.976,48.976
-84.042,-25.986,49.01,49.01
-84.042,-26.044,49.044,49.044
-83.984,-26.102,49.031,49.031
-83.984,-26.16,49.065,49.065
-83.984,-26.218,49.098,49.098
-83.984,-26.276,49.132,49.132
-83.926,-26.334,49.118,49.118
-83.926,-26.392,49.152,49.152
-83.926,-26.45,49.185,49.185
-83.926,-26.508,49.219,49.219
-83.868,-26.566,49.206,49.206
-83.868,-26.624,49.24,49.24
-83.868,-26.682,49.273,49.273
-83.81,-26.74,49.26,49.26
-83.81,-26.798,49.293,49.293
-83.81,-26.856,49.326,49.326
-83.81,-26.913,49.359,49.359
-83.752,-26.971,49.344,49.344
-83.752,-27.029,49.377,49.377
-83.752,-27.087,49.411,49.411
-83.752,-27.145,49.444,49.444
-83.694,-27.203,49.43,49.43
-83.694,-27.261,49.463,49.463
-83.694,-27.319,49.496,49.496
-83.694,-27.377,49.53,49.53
-83.636,-27.435,49.516,49.516
-83.636,-27.493,49.549,49.549
-83.636,-27.551,49.583,49.583
-83.636,-27.609,49.617,49.617
-83.578,-27.667,49.603,49.603
-83.578,-27.725,49.637,49.637
-83.578,-27.783,49.671,49.671
-83.578,-27.841,49.704,49.704
-83.521,-27.899,49.691,49.691
-83.521,-27.957,49.725,49.725
-83.521,-28.015,49.758,49.758
-83.463,-28.073,49.745,49.745
-83.463,-28.131,49.778,49.778
-83.463,-28.189,49.812,49.812
-83.463,-28.247,49.846,49.846
-83.405,-28.305,49.832,49.832
-83.405,-28.362,49.866,49.866
-83.405,-28.42,49.9,49.9
-83.405,-28.478,49.934,49.934
-83.347,-28.536,49.92,49.92
-83.347,-28.594,49.953,49.953
-83.347,-28.652,49.987,49.987
-83.347,-28.71,50.021,50.021
-83.289,-28.768,50.007,50.007
-83.289,-28.826,50.041,50.041
-83.289,-28.884,50.075,50.075
-83.289,-28.942,50.109,50.109
-83.231,-29.0,50.095,50.095
-83.231,-29.058,50.129,50.129
-83.231,-29.116,50.162,50.162
-83.173,-29.174,50.147,50.147
-83.173,-29.232,50.18,50.18
-83.173,-29.29,50.213,50.213
-83.173,-29.348,50.246,50.246
-83.115,-29.406,50.232,50.232
-83.115,-29.464,50.265,50.265
-83.115,-29.522,50.298,50.298
-83.115,-29.58,50.332,50.332
-83.057,-29.638,50.318,50.318
-83.057,-29.696,50.351,50.351
-83.057,-29.754,50.385,50.385
-83.057,-29.811,50.418,50.418
-82.999,-29.869,50.405,50.405
-82.999,-29.927,50.439,50.439
-82.999,-29.985,50.472,50.472
-82.999,-30.043,50.506,50.506
-82.941,-30.101,50.493,50.493
-82.941,-30.159,50.527,50.527
-82.941,-30.217,50.56,50.56
-82.941,-30.275,50.594,50.594
-82.883,-30.333,50.58,50.58
-82.883,-30.391,50.612,50.612
-82.883,-30.449,50.645,50.645
-82.825,-30.507,50.631,50.631
-82.825,-30.565,50.664,50.664
-82.825,-30.623,50.697,50.697
-82.825,-30.681,50.73,50.73
-82.767,-30.739,50.716,50.716
-82.767,-30.797,50.75,50.75
-82.767,-30.855,50.783,50.783
-82.767,-30.913,50.816,50.816
-82.709,-30.971,50.803,50.803
-82.709,-31.029,50.836,50.836
-82.709,-31.087,50.869,50.869
-82.709,-31.145,50.902,50.902
-82.651,-31.203,50.887,50.887
-82.651,-31.26,50.921,50.921
-82.651,-31.318,50.954,50.954
-82.651,-31.376,50.987,50.987
-82.593,-31.434,50.973,50.973
-82.593,-31.492,51.006,51.006
-82.593,-31.55,51.039,51.039
-82.593,-31.608,51.073,51.073
-82.535,-31.666,51.059,51.059
-82.535,-31.724,51.092,51.092
-82.535,-31.782,51.126,51.126
-82.535,-31.84,51.16,51.16
-82.477,-31.898,51.146,51.146
-82.477,-31.956,51.18,51.18
-82.477,-32.014,51.213,51.213
-82.419,-32.072,51.2,51.2
-82.419,-32.13,51.234,51.234
-82.419,-32.188,51.268,51.268
-82.419,-32.246,51.301,51.301
-82.361,-32.304,51.288,51.288
-82.361,-32.362,51.321,51.321
-82.361,-32.42,51.355,51.355
-82.361,-32.478,51.389,51.389
-82.303,-32.536,51.375,51.375
-82.303,-32.594,51.409,51.409
-82.303,-32.652,51.443,51.443
-82.303,-32.709,51.477,51.477
-82.245,-32.767,51.463,51.463
-82.245,-32.825,51.496,51.496
-82.245,-32.883,51.53,51.53
-82.245,-32.941,51.564,51.564
-82.187,-32.999,51.55,51.55
-82.187,-33.057,51.584,51.584
-82.187,-33.115,51.618,51.618
-82.129,-33.173,51.605,51.605
-82.129,-33.231,51.638,51.638
-82.129,-33.289,51.672,51.672
-82.129,-33.347,51.705,51.705
-82.072,-33.405,51.692,51.692
-82.072,-33.463,51.725,51.725
-82.014,-33.521,51.712,51.712
-81.956,-33.579,51.699,51.699
-81.898,-33.579,51.652,51.652
-81.84,-33.637,51.639,51.639
-81.782,-33.637,51.592,51.592
-81.724,-33.637,51.545,51.545
-81.666,-33.695,51.527,51.527
-81.608,-33.695,51.477,51.477
-81.55,-33.753,51.454,51.454
-81.492,-33.753,51.404,51.404
-81.434,-33.753,51.353,51.353
-81.376,-33.811,51.331,51.331
-81.318,-33.811,51.281,51.281
-81.26,-33.869,51.259,51.259
-81.202,-33.869,51.208,51.208
-81.144,-33.927,51.186,51.186
-81.086,-33.927,51.136,51.136
-81.028,-33.927,51.085,51.085
-80.97,-33.985,51.064,51.064
-80.912,-33.985,51.014,51.014
-80.854,-34.043,50.992,50.992
-80.796,-34.043,50.942,50.942
-80.738,-34.101,50.92,50.92
-80.68,-34.101,50.87,50.87
-80.623,-34.158,50.849,50.849
-80.565,-34.158,50.799,50.799
-80.507,-34.216,50.778,50.778
-80.449,-34.216,50.728,50.728
-80.391,-34.216,50.678,50.678
-80.333,-34.274,50.657,50.657
-80.275,-34.274,50.607,50.607
-80.217,-34.332,50.587,50.587
-80.159,-34.332,50.537,50.537
-80.101,-34.39,50.516,50.516
-80.043,-34.39,50.466,50.466
-79.985,-34.448,50.446,50.446
-79.927,-34.448,50.396,50.396
-79.869,-34.506,50.376,50.376
-79.811,-34.506,50.327,50.327
-79.753,-34.564,50.307,50.307
-79.695,-34.564,50.257,50.257
-79.637,-34.622,50.237,50.237
-79.579,-34.622,50.188,50.188
-79.521,-34.622,50.138,50.138
-79.463,-34.68,50.118,50.118
-79.405,-34.68,50.068,50.068
-79.347,-34.738,50.048,50.048
-79.289,-34.738,49.999,49.999
-79.231,-34.796,49.979,49.979
-79.174,-34.796,49.929,49.929
-79.116,-34.854,49.91,49.91
-79.058,-34.854,49.86,49.86
-79.0,-34.912,49.841,49.841
-78.942,-34.912,49.791,49.791
-78.884,-34.912,49.742,49.742
-78.826,-34.97,49.723,49.723
-78.768,-34.97,49.673,49.673
-78.71,-35.028,49.655,49.655
-78.652,-35.028,49.605,49.605
-78.594,-35.086,49.586,49.586
-78.536,-35.086,49.537,49.537
-78.478,-35.144,49.519,49.519
-78.42,-35.144,49.469,49.469
-78.362,-35.144,49.42,49.42
-78.304,-35.202,49.402,49.402
-78.246,-35.202,49.353,49.353
-78.188,-35.26,49.335,49.335
-78.13,-35.26,49.286,49.286
-78.072,-35.318,49.268,49.268
-78.014,-35.318,49.219,49.219
-77.956,-35.376,49.201,49.201
-77.898,-35.376,49.152,49.152
-77.84,-35.376,49.103,49.103
-77.782,-35.434,49.086,49.086
-77.725,-35.434,49.037,49.037
-77.667,-35.492,49.019,49.019
-77.609,-35.492,48.971,48.971
-77.551,-35.55,48.953,48.953
-77.493,-35.55,48.905,48.905
-77.435,-35.607,48.888,48.888
-77.377,-35.607,48.839,48.839
-77.319,-35.607,48.791,48.791
-77.261,-35.665,48.774,48.774
-77.203,-35.665,48.725,48.725
-77.145,-35.723,48.709,48.709
-77.087,-35.723,48.66,48.66
-77.029,-35.781,48.644,48.644
-76.971,-35.781,48.596,48.596
-76.913,-35.781,48.547,48.547
-76.855,-35.839,48.531,48.531
-76.797,-35.839,48.483,48.483
-76.739,-35.897,48.467,48.467
-76.681,-35.897,48.419,48.419
-76.623,-35.955,48.403,48.403
-76.565,-35.955,48.355,48.355
-76.507,-35.955,48.307,48.307
-76.449,-36.013,48.291,48.291
-76.391,-36.013,48.243,48.243
-76.333,-36.071,48.228,48.228
-76.276,-36.071,48.18,48.18
-76.218,-36.129,48.165,48.165
-76.16,-36.129,48.117,48.117
-76.102,-36.129,48.069,48.069
-76.044,-36.187,48.054,48.054
-75.986,-36.187,48.006,48.006
-75.928,-36.245,47.992,47.992
-75.87,-36.245,47.944,47.944
-75.812,-36.303,47.929,47.929
-75.754,-36.303,47.882,47.882
-75.696,-36.303,47.834,47.834
